Art,Name,Type,Archetype,Rarity,Requirements,Ammo,Element,Tier,Excels,Source,Craftable?,Requires,Released,Slot,Ammo?,Element?,Can be Crafted?,Best of?,Rank
,Neoptolemus II,Combat Bow,Precision,Legendary,Free-to-Play, Primary, Kinetic,D > Worst,-,World loot pool, No, Free-to-Play,Episode 2,Kinetic,Primary,Kinetic,No,,D › Worst
,Nessa's Oblation,Shotgun,Pinpoint Slug,Legendary,Lightfall, Special, Void,B > Average,PvE,Root of Nightmares Raid, Yes, Lightfall,Season 20,Energy,Special,Void,Craftable,,B › Average
,New Pacific Epitaph,Grenade Launcher,Wave,Legendary,Free-to-Play, Special, Stasis,A > Strong,PvE,Ghost of the Deep Dungeon, No, Free-to-Play,Season 21,Kinetic,Special,Stasis,No,Top-tier,A › Strong
,New Purpose,Pulse Rifle,High-Impact,Legendary,Witch Queen Dungeon Key, Primary, Stasis,A > Strong,PvE + PvP,Duality Dungeon, No, Episode 3: Heretic,Season 17,Kinetic,Primary,Stasis,No,Top-tier,A › Strong
,Nezarec's Whisper,Glaive,Adaptive,Legendary,Beyond Light Pack, Special, Arc,C > Weak,-,Presage, Yes, Beyond Light Pack,Season 17,Energy,Special,Arc,Craftable,,C › Weak
,Night Terror,Sword,Adaptive,Legendary,Free-to-Play, Heavy, Arc,B > Average,-,Moon, No, Free-to-Play,Season 14,Heavy,Heavy,Arc,No,,B › Average
,Night Watch,Scout Rifle,Lightweight,Legendary,Free-to-Play, Primary, Kinetic,C > Weak,-,World loot pool, No, Free-to-Play,Season 11,Kinetic,Primary,Kinetic,No,,C › Weak
,Nightshade,Pulse Rifle,Lightweight,Legendary,Free-to-Play, Primary, Strand,B > Average,PvP,Recovered Red War, No, Free-to-Play,Season 22,Kinetic,Primary,Strand,No,,B › Average
,No Hesitation,Auto Rifle,Support,Legendary,The Final Shape, Primary, Solar,S > Best,PvE,The Pale Heart, Yes, The Final Shape,The Final Shape,Energy,Primary,Solar,Craftable,Top-tier,S › Best
,No Reprieve,Shotgun,Pinpoint Slug,Legendary,Free-to-Play, Special, Stasis,D > Worst,-,Xûr, Yes, Free-to-Play,Season 18,Kinetic,Special,Stasis,Craftable,,D › Worst
,No Survivors,Submachine Gun,Aggressive,Legendary,Free-to-Play, Primary, Solar,A > Strong,PvE + PvP,Ghost of the Deep Dungeon, No, Free-to-Play,Season 21,Energy,Primary,Solar,No,Top-tier,A › Strong
,No Time to Explain,Pulse Rifle,Exotic,Exotic,Beyond Light Pack, Primary, Kinetic,A > Strong,PvE + PvP,Beyond Light Campaign, No, Beyond Light Pack,Season 12,Kinetic,Primary,Kinetic,No,Top-tier,A › Strong
,Non-Denouement,Combat Bow,Precision,Legendary,The Final Shape, Primary, Arc,S > Best,PvE + PvP,Salvation's Edge Raid, Yes, The Final Shape,The Final Shape,Energy,Primary,Arc,Craftable,Top-tier,S › Best
,Nox Perennial V,Fusion Rifle,High-Impact,Legendary,Free-to-Play, Special, Strand,A > Strong,PvE,Lost Sector, No, Free-to-Play,Season 22,Kinetic,Special,Strand,No,Top-tier,A › Strong
,Noxious Vetiver,Submachine Gun,Precision,Legendary,Episode 2: Revenant, Primary, Arc,B > Average,PvE,Revenant Activities, No, Episode 2: Revenant,Episode 2,Energy,Primary,Arc,No,,B › Average
,Null Composure,Fusion Rifle,Rapid-Fire,Legendary,Free-to-Play, Special, Void,B > Average,PvE,Exotic Kiosk, No, Free-to-Play,Season 14,Energy,Special,Void,No,,B › Average
,Nullify,Pulse Rifle,Heavy Burst,Legendary,The Final Shape, Primary, Solar,S > Best,PvE + PvP,Salvation's Edge Raid, Yes, The Final Shape,The Final Shape,Energy,Primary,Solar,Craftable,Top-tier,S › Best
,Occluded Finality,Sniper Rifle,Aggressive,Legendary,Free-to-Play, Special, Arc,C > Weak,PvP,Iron Banner, No, Free-to-Play,Season 14,Energy,Special,Arc,No,,C › Weak
,Ogma PR6,Pulse Rifle,Lightweight,Legendary,Free-to-Play, Primary, Solar,B > Average,PvE,Gunsmith, No, Free-to-Play,Season 16,Energy,Primary,Solar,No,,B › Average
,Old Sterling,Auto Rifle,Adaptive,Legendary,Free-to-Play, Primary, Strand,C > Weak,PvE,Lost Sector, No, Free-to-Play,Season 21,Kinetic,Primary,Strand,No,,C › Weak
,Omniscient Eye,Sniper Rifle,Rapid-Fire,Legendary,Shadowkeep Pack, Special, Solar,A > Strong,PvE + PvP,Garden of Salvation Raid, Yes, Shadowkeep Pack,Season 8,Energy,Special,Solar,Craftable,Top-tier,A › Strong
,One Small Step,Shotgun,Rapid-Fire,Legendary,Free-to-Play, Special, Kinetic,A > Strong,PvE,Moon, No, Free-to-Play,Season 14,Kinetic,Special,Kinetic,No,Top-tier,A › Strong
,One Thousand Voices,Fusion Rifle,Exotic,Exotic,Forsaken Pack, Heavy, Solar,C > Weak,-,Last Wish Raid, No, Forsaken Pack,Season 4,Heavy,Heavy,Solar,No,,C › Weak
,Optative,Hand Cannon,Precision,Legendary,Free-to-Play, Primary, Void,B > Average,PvE,Undying, Yes, Free-to-Play,Season 23,Energy,Primary,Void,Craftable,,B › Average
,Orewing's Maul,Grenade Launcher,Lightweight,Legendary,Free-to-Play, Special, Void,B > Average,PvP,Iron Banner, No, Free-to-Play,Season 11,Energy,Special,Void,No,,B › Average
,Origin Story,Auto Rifle,Precision,Legendary,Free-to-Play, Primary, Kinetic,B > Average,PvP,Playlist: Vanguard, No, Free-to-Play,The Final Shape,Kinetic,Primary,Kinetic,No,,B › Average
,Osteo Striga,Submachine Gun,Exotic,Exotic,The Witch Queen, Primary, Kinetic,B > Average,PvE,The Witch Queen Campaign, Yes, Witch Queen,Season 16,Kinetic,Primary,Kinetic,Craftable,,B › Average
,Out of Bounds,Submachine Gun,Lightweight,Legendary,Free-to-Play, Primary, Arc,B > Average,-,Playlist: Crucible, No, Free-to-Play,Season 18,Energy,Primary,Arc,No,,B › Average
,Outbreak Perfected,Pulse Rifle,Exotic,Exotic,Free-to-Play, Primary, Kinetic,S > Best,PvE,Zero Hour, Yes, Free-to-Play,Season 6,Kinetic,Primary,Kinetic,Craftable,Top-tier,S › Best
,Outlast,Pulse Rifle,Rapid-Fire,Legendary,Free-to-Play, Primary, Solar,B > Average,PvP,Fishing, No, Free-to-Play,Season 21,Energy,Primary,Solar,No,,B › Average
,Outrageous Fortune,Grenade Launcher,Rapid-Fire,Legendary,Free-to-Play, Heavy, Solar,D > Worst,-,World loot pool, No, Free-to-Play,Season 11,Heavy,Heavy,Solar,No,,D › Worst
,Oversoul Edict,Pulse Rifle,Rapid-Fire,Legendary,Free-to-Play, Primary, Arc,A > Strong,PvE + PvP,Crota's End Raid, Yes, Free-to-Play,Season 22,Energy,Primary,Arc,Craftable,Top-tier,A › Strong
,PLUG ONE.1,Fusion Rifle,Precision,Legendary,Free-to-Play, Special, Arc,B > Average,PvE,Nightfall: The Ordeals, No, Free-to-Play,Season 14,Energy,Special,Arc,No,,B › Average
,Palmyra-B,Rocket Launcher,Precision,Legendary,Free-to-Play, Heavy, Stasis,D > Worst,-,Gunsmith, Yes, Free-to-Play,Season 16,Heavy,Heavy,Stasis,Craftable,,D › Worst
,Parabellum,Submachine Gun,Adaptive,Legendary,Free-to-Play, Primary, Solar,B > Average,-,World loot pool, No, Free-to-Play,Season 23,Energy,Primary,Solar,No,,B › Average
,Parasite,Grenade Launcher,Exotic,Exotic,The Witch Queen, Heavy, Solar,S > Best,PvE,Exotic Quest, No, Witch Queen,Season 16,Heavy,Heavy,Solar,No,Top-tier,S › Best
,Pardon Our Dust,Grenade Launcher,Lightweight,Legendary,Free-to-Play, Special, Kinetic,A > Strong,PvE,Dares of Eternity, Yes, Free-to-Play,30th Anniversary event,Kinetic,Special,Kinetic,Craftable,Top-tier,A › Strong
,Path of Least Resistance,Trace Rifle,Adaptive,Legendary,The Witch Queen, Special, Arc,S > Best,PvE,Operation: Seraph's Shield, Yes, Witch Queen,Season 19,Heavy,Special,Arc,Craftable,Top-tier,S › Best
,Patron of Lost Causes,Scout Rifle,Lightweight,Legendary,Episode 1: Echoes, Primary, Kinetic,A > Strong,PvE,Dawn Engrams, No, Episode 1: Echoes,The Final Shape,Kinetic,Primary,Kinetic,No,Top-tier,A › Strong
,Peacebond,Sidearm,Adaptive,Legendary,Free-to-Play, Primary, Stasis,A > Strong,PvE,Iron Banner, No, Free-to-Play,Season 15,Kinetic,Primary,Stasis,No,Top-tier,A › Strong
,Perfect Paradox,Shotgun,Rapid-Fire,Legendary,Episode 1: Echoes, Special, Kinetic,S > Best,PvE,Dawn Engrams, No, Episode 1: Echoes,The Final Shape,Kinetic,Special,Kinetic,No,Top-tier,S › Best
,Perfect Pitch,Submachine Gun,Precision,Legendary,Free-to-Play, Primary, Solar,B > Average,PvE,Playlist: Pursuit, No, Free-to-Play,The Final Shape,Energy,Primary,Solar,No,,B › Average
,Perpetualis,Auto Rifle,Adaptive,Legendary,Lightfall, Primary, Strand,D > Worst,PvE,Avalon, Yes, Lightfall,Season 20,Kinetic,Primary,Strand,Craftable,,D › Worst
,Perses-D,Pulse Rifle,High-Impact,Legendary,Free-to-Play, Primary, Stasis,C > Weak,-,Gunsmith, No, Free-to-Play,Season 16,Kinetic,Primary,Stasis,No,,C › Weak
,Persuader,Sniper Rifle,Rapid-Fire,Legendary,Free-to-Play, Special, Void,C > Weak,-,Recovered Red War, No, Free-to-Play,Season 22,Energy,Special,Void,No,,C › Weak
,Phyllotactic Spiral,Pulse Rifle,High-Impact,Legendary,Lightfall, Primary, Arc,A > Strong,PvE + PvP,Neomuna, Yes, Lightfall,Season 20,Energy,Primary,Arc,Craftable,Top-tier,A › Strong
,Piece of Mind,Pulse Rifle,Rapid-Fire,Legendary,The Witch Queen, Primary, Kinetic,A > Strong,PvP,Vox Obscura, Yes, Witch Queen,Season 16,Kinetic,Primary,Kinetic,Craftable,Top-tier,A › Strong
,Pizzicato-22,Submachine Gun,Adaptive,Legendary,Free-to-Play, Primary, Kinetic,C > Weak,-,Gunsmith, No, Free-to-Play,Season 18,Kinetic,Primary,Kinetic,No,,C › Weak
,Planck's Stride,Machine Gun,Rapid-Fire,Legendary,Free-to-Play, Heavy, Arc,D > Worst,-,Xûr, Yes, Free-to-Play,Season 18,Heavy,Heavy,Arc,Craftable,,D › Worst
,Pleiades Corrector,Scout Rifle,Lightweight,Legendary,Free-to-Play, Primary, Solar,D > Worst,-,Xûr, No, Free-to-Play,Season 14,Energy,Primary,Solar,No,,D › Worst
,Point of the Stag,Combat Bow,Precision,Legendary,Free-to-Play, Primary, Arc,S > Best,PvE + PvP,Iron Banner, No, Free-to-Play,Season 10,Energy,Primary,Arc,No,Top-tier,S › Best
,Pointed Inquiry,Scout Rifle,High-Impact,Legendary,Free-to-Play, Primary, Void,D > Worst,-,Throne World, Yes, Free-to-Play,Season 16,Energy,Primary,Void,Craftable,,D › Worst
,Polaris Lance,Scout Rifle,Exotic,Exotic,Free-to-Play, Primary, Solar,C > Weak,-,Exotic Kiosk, No, Free-to-Play,Season 3,Energy,Primary,Solar,No,,C › Weak
,Positive Outlook,Auto Rifle,Precision,Legendary,Free-to-Play, Primary, Void,A > Strong,PvE + PvP,Playlist: Vanguard, No, Free-to-Play,Season 21,Energy,Primary,Void,No,Top-tier,A › Strong
,Posterity,Hand Cannon,Precision,Legendary,Beyond Light Pack, Primary, Arc,A > Strong,PvE,Deep Stone Crypt Raid, Yes, Beyond Light Pack,Season 12,Energy,Primary,Arc,Craftable,Top-tier,A › Strong
,Praedyth's Revenge,Sniper Rifle,Rapid-Fire,Legendary,Free-to-Play, Special, Kinetic,S > Best,PvE,Vault of Glass Raid, Yes, Free-to-Play,Episode 3,Kinetic,Special,Kinetic,Craftable,Top-tier,S › Best
,Pre Astyanax IV,Combat Bow,Precision,Legendary,Free-to-Play, Primary, Solar,A > Strong,PvE,Nightfall: The Ordeals, No, Free-to-Play,Season 22,Energy,Primary,Solar,No,Top-tier,A › Strong
,Premonition,Pulse Rifle,High-Impact,Legendary,Shadowkeep Pack, Primary, Void,C > Weak,-,Pit of Heresy Dungeon, No, Shadowkeep Pack,Season 13,Energy,Primary,Void,No,,C › Weak
,Pressurized Precision,Fusion Rifle,Adaptive,Legendary,Free-to-Play, Special, Strand,A > Strong,PvP,Iron Banner, No, Free-to-Play,Season 21,Kinetic,Special,Strand,No,Top-tier,A › Strong
,Pro Memoria,Machine Gun,Aggressive,Legendary,The Final Shape, Heavy, Strand,A > Strong,PvE,The Pale Heart, Yes, The Final Shape,The Final Shape,Heavy,Heavy,Strand,Craftable,Top-tier,A › Strong
,Prodigal Return,Grenade Launcher,Lightweight,Legendary,Lightfall, Special, Arc,A > Strong,PvE,Avalon, Yes, Lightfall,Season 20,Energy,Special,Arc,Craftable,Top-tier,A › Strong
,Prolonged Engagement,Submachine Gun,Lightweight,Legendary,Free-to-Play, Primary, Stasis,A > Strong,PvE,Vanguard Focusing, No, Free-to-Play,Season 19,Kinetic,Primary,Stasis,No,Top-tier,A › Strong
,Prometheus Lens,Trace Rifle,Exotic,Exotic,Free-to-Play, Special, Solar,C > Weak,-,Exotic Engram, No, Free-to-Play,Season 2,Energy,Special,Solar,No,,C › Weak
,Prophet of Doom,Shotgun,Precision,Legendary,Shadowkeep Pack, Special, Arc,S > Best,PvP,Garden of Salvation Raid, Yes, Shadowkeep Pack,Season 8,Energy,Special,Arc,Craftable,Top-tier,S › Best
,Prosecutor,Auto Rifle,Precision,Legendary,Free-to-Play, Primary, Arc,A > Strong,PvE + PvP,Prophecy Dungeon, No, Free-to-Play,Season 23,Energy,Primary,Arc,No,Top-tier,A › Strong
,Psi Hermetic V,Pulse Rifle,High-Impact,Legendary,Free-to-Play, Primary, Stasis,A > Strong,PvP,Lost Sector, No, Free-to-Play,Season 22,Kinetic,Primary,Stasis,No,Top-tier,A › Strong
,Psychopomp,Grenade Launcher,Area Denial,Legendary,Episode 3: Heretic, Special, Arc,S > Best,PvE,Heresy Activities, No, Episode 3: Heretic,Episode 3,Energy,Special,Arc,No,Top-tier,S › Best
,Punching Out,Sidearm,SUROS Rapid-Fire,Legendary,Free-to-Play, Primary, Solar,A > Strong,PvE,Vanguard Focusing, No, Free-to-Play,Season 15,Energy,Primary,Solar,No,Top-tier,A › Strong
,Pure Poetry,Hand Cannon,Aggressive,Legendary,Free-to-Play, Primary, Kinetic,C > Weak,-,Vanguard Focusing, No, Free-to-Play,Season 18,Kinetic,Primary,Kinetic,No,,C › Weak
,Qua Furor V,Machine Gun,Aggressive,Legendary,Free-to-Play, Heavy, Stasis,B > Average,PvE,World loot pool, No, Free-to-Play,Episode 3,Heavy,Heavy,Stasis,No,,B › Average
,Qua Xaphan V,Machine Gun,High-Impact,Legendary,Free-to-Play, Heavy, Void,B > Average,PvE,Playlist: Gambit, No, Free-to-Play,Season 22,Heavy,Heavy,Void,No,,B › Average
,Quickfang,Sword,Lightweight,Legendary,Free-to-Play, Heavy, Void,D > Worst,-,World loot pool, No, Free-to-Play,Season 14,Heavy,Heavy,Void,No,,D › Worst
,Quicksilver Storm,Auto Rifle,Exotic,Exotic,Lightfall, Primary, Strand,B > Average,PvE,Exotic Kiosk, No, Lightfall,Season 18,Kinetic,Primary,Strand,No,,B › Average
,Qullim's Terminus,Machine Gun,High-Impact,Legendary,Free-to-Play, Heavy, Stasis,C > Weak,-,King's Fall Raid, Yes, Free-to-Play,Season 18,Heavy,Heavy,Stasis,Craftable,,C › Weak
,Raconteur,Combat Bow,Precision,Legendary,Lightfall, Primary, Stasis,A > Strong,PvE,Avalon, Yes, Lightfall,Season 20,Kinetic,Primary,Stasis,Craftable,Top-tier,A › Strong
,Ragnhild-D,Shotgun,Aggressive,Legendary,Free-to-Play, Special, Kinetic,C > Weak,-,Gunsmith, Yes, Free-to-Play,Season 16,Kinetic,Special,Kinetic,Craftable,,C › Weak
,Rake Angle,Glaive,Aggressive,Legendary,Free-to-Play, Special, Stasis,S > Best,PvE,Nightfall: The Ordeals, No, Free-to-Play,Episode 2,Kinetic,Special,Stasis,No,Top-tier,S › Best
,Randy's Throwing Knife,Scout Rifle,Rapid-Fire,Legendary,Free-to-Play, Primary, Kinetic,S > Best,PvE + PvP,Playlist: Crucible, No, Free-to-Play,Season 21,Kinetic,Primary,Kinetic,No,Top-tier,S › Best
,Rapacious Appetite,Submachine Gun,Aggressive,Legendary,Free-to-Play, Primary, Stasis,C > Weak,-,Xûr, Yes, Free-to-Play,Season 21,Kinetic,Primary,Stasis,Craftable,,C › Weak
,Rat King,Sidearm,Exotic,Exotic,Free-to-Play, Primary, Kinetic,B > Average,PvP,Exotic Kiosk, No, Free-to-Play,Season 1,Kinetic,Primary,Kinetic,No,,B › Average
,Razor's Edge,Sword,Vortex,Legendary,Free-to-Play, Heavy, Void,D > Worst,-,Iron Banner, No, Free-to-Play,Season 16,Heavy,Heavy,Void,No,,D › Worst
,Reckless Endangerment,Shotgun,Lightweight,Legendary,Free-to-Play, Special, Kinetic,D > Worst,-,Exotic Kiosk, No, Free-to-Play,Season 16,Kinetic,Special,Kinetic,No,,D › Worst
,Reckless Oracle,Auto Rifle,Rapid-Fire,Legendary,Shadowkeep Pack, Primary, Void,S > Best,PvE,Garden of Salvation Raid, Yes, Shadowkeep Pack,Season 8,Energy,Primary,Void,Craftable,Top-tier,S › Best
,Recurrent Impact,Machine Gun,Rapid-Fire,Legendary,The Witch Queen, Heavy, Stasis,B > Average,PvE,Vox Obscura, Yes, Witch Queen,Season 16,Heavy,Heavy,Stasis,Craftable,,B › Average
,Red Death Reformed,Pulse Rifle,Exotic,Exotic,Free-to-Play, Primary, Solar,A > Strong,PvE + PvP,Season Pass, No, Free-to-Play,The Final Shape,Energy,Primary,Solar,No,Top-tier,A › Strong
,Red Herring,Rocket Launcher,Adaptive,Legendary,Free-to-Play, Heavy, Void,D > Worst,-,Throne World, Yes, Free-to-Play,Season 16,Heavy,Heavy,Void,Craftable,,D › Worst
,Red Tape,Scout Rifle,Lightweight,Legendary,Episode 2: Revenant, Primary, Stasis,B > Average,PvE,Revenant Activities, No, Episode 2: Revenant,Episode 2,Kinetic,Primary,Stasis,No,,B › Average
,Redback-5si,Sidearm,Lightweight,Legendary,Free-to-Play, Primary, Solar,C > Weak,-,Gunsmith, No, Free-to-Play,Season 16,Energy,Primary,Solar,No,,C › Weak
,Redrix's Estoc,Pulse Rifle,Legacy PR-55,Legendary,Free-to-Play, Primary, Stasis,S > Best,PvP,Crucible Competitive, No, Free-to-Play,Episode 3,Kinetic,Primary,Stasis,No,Top-tier,S › Best
,Reed's Regret,Linear Fusion Rifle,Precision,Legendary,The Final Shape, Heavy, Stasis,C > Weak,-,Trials of Osiris, No, The Final Shape,Season 15,Heavy,Heavy,Stasis,No,,C › Weak
,Reed's Regret,Linear Fusion Rifle,Precision,Legendary,The Final Shape, Heavy, Stasis,C > Weak,-,Trials of Osiris, No, The Final Shape,Season 15,Heavy,Heavy,Stasis,No,,C › Weak
,Refusal of the Call,Glaive,Adaptive,Legendary,Episode 3: Heretic, Special, Strand,A > Strong,PvE,Heresy Activities, No, Episode 3: Heretic,Episode 3,Kinetic,Special,Strand,No,Top-tier,A › Strong
,Regnant,Grenade Launcher,Adaptive,Legendary,Lightfall, Heavy, Void,A > Strong,PvE,Avalon, Yes, Lightfall,Season 20,Heavy,Heavy,Void,Craftable,Top-tier,A › Strong
,Relentless,Pulse Rifle,High-Impact,Legendary,Free-to-Play, Primary, Strand,A > Strong,PvP,Prophecy Dungeon, No, Free-to-Play,Season 23,Kinetic,Primary,Strand,No,Top-tier,A › Strong
,Resounding,Fusion Rifle,Aggressive,Legendary,Free-to-Play, Special, Strand,A > Strong,PvE,Playlist: Pursuit, No, Free-to-Play,Episode 3,Kinetic,Special,Strand,No,Top-tier,A › Strong
,Retold Tale,Shotgun,Precision,Legendary,Free-to-Play, Special, Void,A > Strong,PvP,Shattered Throne Dungeon, No, Free-to-Play,Season 13,Energy,Special,Void,No,Top-tier,A › Strong
,Retraced Path,Trace Rifle,Adaptive,Legendary,Free-to-Play, Special, Solar,A > Strong,PvE,Dares of Eternity, Yes, Free-to-Play,30th Anniversary event,Energy,Special,Solar,Craftable,Top-tier,A › Strong
,Retrofit Escapade,Machine Gun,Rapid-Fire,Legendary,The Witch Queen, Heavy, Void,B > Average,PvE,Operation: Seraph's Shield, Yes, Witch Queen,Season 19,Heavy,Heavy,Void,Craftable,,B › Average
,Retrofuturist,Shotgun,Lightweight,Legendary,Free-to-Play, Special, Void,B > Average,-,World loot pool, No, Free-to-Play,Season 13,Energy,Special,Void,No,,B › Average
,Revision Zero,Pulse Rifle,Exotic,Exotic,The Witch Queen, Primary, Kinetic,B > Average,PvE,Operation: Seraph's Shield, Yes, Witch Queen,Season 19,Kinetic,Primary,Kinetic,Craftable,,B › Average
,Riiswalker,Shotgun,Lightweight,Legendary,Free-to-Play, Special, Kinetic,B > Average,PvP,Iron Banner, No, Free-to-Play,Season 14,Kinetic,Special,Kinetic,No,,B › Average
,Riptide,Fusion Rifle,Rapid-Fire,Legendary,Free-to-Play, Special, Stasis,S > Best,PvE,Playlist: Crucible, No, Free-to-Play,Season 17,Kinetic,Special,Stasis,No,Top-tier,S › Best
,Riskrunner,Submachine Gun,Exotic,Exotic,Free-to-Play, Primary, Arc,A > Strong,PvE,Exotic Quest, No, Free-to-Play,Season 1,Energy,Primary,Arc,No,Top-tier,A › Strong
,Roar of the Bear,Rocket Launcher,High-Impact,Legendary,Free-to-Play, Heavy, Solar,C > Weak,-,Iron Banner, No, Free-to-Play,Season 18,Heavy,Heavy,Solar,No,,C › Weak
,Ros Arago IV,Auto Rifle,Adaptive,Legendary,Free-to-Play, Primary, Void,A > Strong,PvE,World loot pool, No, Free-to-Play,Season 23,Energy,Primary,Void,No,Top-tier,A › Strong
,Rose,Hand Cannon,Lightweight,Legendary,Free-to-Play, Primary, Kinetic,S > Best,PvP,Playlist: Crucible, No, Free-to-Play,Season 19,Kinetic,Primary,Kinetic,No,Top-tier,S › Best
,Round Robin,Hand Cannon,Aggressive,Legendary,Lightfall, Primary, Strand,B > Average,PvP,Neomuna, Yes, Lightfall,Season 20,Kinetic,Primary,Strand,Craftable,,B › Average
,Royal Chase,Scout Rifle,Precision,Legendary,Free-to-Play, Primary, Void,D > Worst,-,World loot pool, No, Free-to-Play,Season 12,Energy,Primary,Void,No,,D › Worst
,Royal Entry,Rocket Launcher,Precision,Legendary,Free-to-Play, Heavy, Void,C > Weak,-,Vanguard Focusing, No, Free-to-Play,Season 13,Heavy,Heavy,Void,No,,C › Weak
,Royal Executioner,Fusion Rifle,Adaptive,Legendary,Lightfall, Special, Solar,A > Strong,PvE,Avalon, Yes, Lightfall,Season 20,Energy,Special,Solar,Craftable,Top-tier,A › Strong
,Rufus's Fury,Auto Rifle,Rapid-Fire,Legendary,Lightfall, Primary, Strand,A > Strong,PvE + PvP,Root of Nightmares Raid, Yes, Lightfall,Season 20,Kinetic,Primary,Strand,Craftable,Top-tier,A › Strong
,Ruinous Effigy ,Trace Rifle,Exotic,Exotic,Shadowkeep Pack, Special, Void,C > Weak,-,Exotic Kiosk, No, Shadowkeep Pack,Season 11,Energy,Special,Void,No,,C › Weak
,SUROS Regime,Auto Rifle,Exotic,Exotic,Free-to-Play, Primary, Kinetic,D > Worst,-,Exotic Engram, No, Free-to-Play,Season 3,Kinetic,Primary,Kinetic,No,,D › Worst
,Sacred Provenance,Pulse Rifle,Aggressive Burst,Legendary,Shadowkeep Pack, Primary, Kinetic,A > Strong,PvE,Garden of Salvation Raid, Yes, Shadowkeep Pack,Season 8,Kinetic,Primary,Kinetic,Craftable,Top-tier,A › Strong
,Sailspy Pitchglass,Linear Fusion Rifle,Precision,Legendary,Free-to-Play, Heavy, Arc,C > Weak,-,Xûr, Yes, Free-to-Play,Season 18,Heavy,Heavy,Arc,Craftable,,C › Weak
,Sailspy Pitchglass,Linear Fusion Rifle,Precision,Legendary,Free-to-Play, Heavy, Arc,C > Weak,-,Xûr, Yes, Free-to-Play,Season 18,Heavy,Heavy,Arc,Craftable,,C › Weak
,Salvager's Salvo,Grenade Launcher,Lightweight,Legendary,Free-to-Play, Special, Arc,B > Average,PvE,Exotic Kiosk, No, Free-to-Play,Season 13,Energy,Special,Arc,No,,B › Average
,Salvation's Grip,Grenade Launcher,Exotic,Exotic,Beyond Light Pack, Heavy, Stasis,C > Weak,-,Exotic Quest, No, Beyond Light Pack,Season 12,Heavy,Heavy,Stasis,No,,C › Weak
,Scalar Potential,Pulse Rifle,Rapid-Fire,Legendary,Lightfall, Primary, Arc,A > Strong,PvP,Starcrossed, Yes, Lightfall,Season 23,Energy,Primary,Arc,Craftable,Top-tier,A › Strong
,Scathelocke,Auto Rifle,Adaptive,Legendary,Free-to-Play, Primary, Kinetic,C > Weak,-,World loot pool, No, Free-to-Play,Season 15,Kinetic,Primary,Kinetic,No,,C › Weak
,Scatter Signal,Fusion Rifle,Rapid-Fire,Legendary,Lightfall, Special, Strand,S > Best,PvE + PvP,Starcrossed, Yes, Lightfall,Season 23,Kinetic,Special,Strand,Craftable,Top-tier,S › Best
,Scavenger's Fate,Shotgun,Precision,Legendary,Episode 2: Revenant, Special, Void,S > Best,PvP,Revenant Activities, No, Episode 2: Revenant,Episode 2,Energy,Special,Void,No,Top-tier,S › Best
,Scintillation,Linear Fusion Rifle,Adaptive,Legendary,Free-to-Play, Heavy, Strand,S > Best,PvE,Nightfall: The Ordeals, No, Free-to-Play,The Final Shape,Heavy,Heavy,Strand,No,Top-tier,S › Best
,Scintillation,Linear Fusion Rifle,Adaptive,Legendary,Free-to-Play, Heavy, Strand,S > Best,PvE,Nightfall: The Ordeals, No, Free-to-Play,The Final Shape,Heavy,Heavy,Strand,No,Top-tier,S › Best
,Semiotician,Rocket Launcher,High-Impact,Legendary,Free-to-Play, Heavy, Strand,B > Average,-,Xûr, Yes, Free-to-Play,Season 22,Heavy,Heavy,Strand,Craftable,,B › Average
,Senuna SI6,Sidearm,Omolon Adaptive,Legendary,Free-to-Play, Primary, Stasis,A > Strong,PvP,Lost Sector, No, Free-to-Play,Season 20,Kinetic,Primary,Stasis,No,Top-tier,A › Strong
,Servant Leader,Scout Rifle,Rapid-Fire,Legendary,Free-to-Play, Primary, Kinetic,B > Average,PvE + PvP,Playlist: Gambit, No, Free-to-Play,Season 15,Kinetic,Primary,Kinetic,No,,B › Average
,Seventh Seraph CQC-12,Shotgun,Lightweight,Legendary,Free-to-Play, Special, Solar,C > Weak,-,Xûr, No, Free-to-Play,Season 10,Energy,Special,Solar,No,,C › Weak
,Seventh Seraph Carbine,Auto Rifle,Precision,Legendary,Free-to-Play, Primary, Kinetic,D > Worst,-,Xûr, No, Free-to-Play,Season 10,Kinetic,Primary,Kinetic,No,,D › Worst
,Seventh Seraph Officer Revolver,Hand Cannon,Precision,Legendary,Free-to-Play, Primary, Kinetic,D > Worst,PvE,Xûr, No, Free-to-Play,Season 10,Kinetic,Primary,Kinetic,No,,D › Worst
,Seventh Seraph SAW,Machine Gun,High-Impact,Legendary,Free-to-Play, Heavy, Arc,D > Worst,-,Xûr, No, Free-to-Play,Season 10,Heavy,Heavy,Arc,No,,D › Worst
,Seventh Seraph SI-2,Sidearm,Lightweight,Legendary,Free-to-Play, Primary, Void,B > Average,-,Xûr, No, Free-to-Play,Season 10,Energy,Primary,Void,No,,B › Average
,Seventh Seraph VY-7,Submachine Gun,Precision,Legendary,Free-to-Play, Primary, Arc,D > Worst,-,World loot pool, No, Free-to-Play,Season 10,Energy,Primary,Arc,No,,D › Worst
